давление 1E+5 Па.,   время 0 c.
давление 1,131E+1 Па.,   время 439 c.
давление 1,123E+1 Па.,   время 440 c.
давление 1,116E+1 Па.,   время 441 c.
давление 1,109E+1 Па.,   время 442 c.
давление 1,101E+1 Па.,   время 443 c.
давление 1,094E+1 Па.,   время 444 c.
давление 1,087E+1 Па.,   время 445 c.
давление 1,08E+1 Па.,   время 446 c.
давление 1,073E+1 Па.,   время 447 c.
давление 1,066E+1 Па.,   время 448 c.
давление 1,059E+1 Па.,   время 449 c.
давление 1,052E+1 Па.,   время 450 c.
давление 1,046E+1 Па.,   время 451 c.
давление 1,039E+1 Па.,   время 452 c.
давление 1,032E+1 Па.,   время 453 c.
давление 1,026E+1 Па.,   время 454 c.
давление 1,019E+1 Па.,   время 455 c.
давление 1,013E+1 Па.,   время 456 c.
давление 1,007E+1 Па.,   время 457 c.
давление 1,001E+1 Па.,   время 458 c.
давление 9,594E+0 Па.,   время 459 c.
давление 9,265E+0 Па.,   время 460 c.
давление 8,954E+0 Па.,   время 461 c.
давление 8,659E+0 Па.,   время 462 c.
давление 8,381E+0 Па.,   время 463 c.
давление 8,116E+0 Па.,   время 464 c.
давление 7,865E+0 Па.,   время 465 c.
давление 7,626E+0 Па.,   время 466 c.
давление 7,399E+0 Па.,   время 467 c.
давление 7,183E+0 Па.,   время 468 c.
давление 6,977E+0 Па.,   время 469 c.
давление 6,78E+0 Па.,   время 470 c.
давление 6,593E+0 Па.,   время 471 c.
давление 6,413E+0 Па.,   время 472 c.
давление 6,241E+0 Па.,   время 473 c.
давление 6,077E+0 Па.,   время 474 c.
давление 5,919E+0 Па.,   время 475 c.
давление 5,768E+0 Па.,   время 476 c.
давление 5,624E+0 Па.,   время 477 c.
давление 5,484E+0 Па.,   время 478 c.
давление 5,351E+0 Па.,   время 479 c.
давление 5,222E+0 Па.,   время 480 c.
давление 5,098E+0 Па.,   время 481 c.
давление 4,979E+0 Па.,   время 482 c.
давление 4,865E+0 Па.,   время 483 c.
давление 4,754E+0 Па.,   время 484 c.
давление 4,648E+0 Па.,   время 485 c.
давление 4,545E+0 Па.,   время 486 c.
давление 4,445E+0 Па.,   время 487 c.
